日期,排名,极度推荐,极度推荐排名,V1.50极度分,V1.50优选分,V1.50当前强度,V1.50结构确认,V1.50修复质量,V1.50启动质量,V1.50量价协同,V1.50超热扣分,涨停基因分,原极度推荐分,代码,名称,推荐度,今日涨跌%,相对强度,RSI14,KDJ状态,20日涨幅%,60日高点回撤%,关注理由
2025-07-21,1,极度推荐,1,86.4,84.8,64.0,95.0,96.0,96.1,100.0,0.0,44.5,82.7,600551,时代出版,58.4,1.46,49.7,50.48,多头,2.49,-14.63,当前仍站在20日线之上，20日线相对60日线高约4.3%，但短线均线结构还不算特别强。近20日上涨约2.5%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.60，前期有明显缩量，而当前量比约1.11，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.1%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。
2025-07-22,1,极度推荐,1,83.0,81.5,65.5,95.0,91.0,89.1,78.0,0.0,67.3,78.2,002278,神开股份,82.2,1.18,52.8,53.88,多头,10.0,-15.53,当前仍站在20日线之上，20日线相对60日线高约5.2%，但短线均线结构还不算特别强。近20日上涨约10.0%，近5日约2.0%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.51，前期有明显缩量，而当前量比约1.62，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-07-28,1,极度推荐,1,85.9,86.5,73.0,95.0,100.0,77.1,83.0,0.0,70.8,84.2,000892,欢瑞世纪,68.9,2.24,60.3,58.38,多头,3.51,-19.97,当前仍站在20日线之上，20日线相对60日线高约15.7%，但短线均线结构还不算特别强。近20日上涨约3.5%，短线约8.2%，已经偏热，继续追价的性价比下降。近期5/20成交量比约0.81，量能处于收缩状态，但当前量比约1.90，启动力度还需要继续观察。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.3%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-07-29,1,极度推荐,1,74.2,72.7,60.2,57.0,90.0,82.1,95.0,0.0,71.0,79.7,002177,御银股份,48.0,0.15,44.5,46.66,多头,-13.9,-24.32,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-13.9%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.45，前期有明显缩量，而当前量比约1.29，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-07-30,1,极度推荐,1,77.7,76.8,68.7,57.0,93.0,78.7,95.0,0.0,65.0,79.5,002295,精艺股份,51.4,1.22,56.0,53.97,多头,5.63,-20.59,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约5.6%，近5日约3.2%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.36，前期有明显缩量，而当前量比约1.22，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-04,1,极度推荐,1,74.0,72.7,61.4,70.0,72.0,84.1,100.0,0.0,72.0,75.2,603065,宿迁联盛,46.4,1.78,47.3,45.64,多头,-6.74,-18.47,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-6.7%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.81，量能处于收缩状态，但当前量比约1.31，启动力度还需要继续观察。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.8%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-08-05,1,极度推荐,1,82.0,80.5,62.3,95.0,85.0,100.0,100.0,0.7,64.0,75.9,601218,吉鑫科技,55.8,1.43,47.9,53.13,多头,-5.33,-22.59,当前仍站在20日线之上，20日线相对60日线高约7.0%，但短线均线结构还不算特别强。近20日上涨约-5.3%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.55，前期有明显缩量，而当前量比约1.02，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-06,1,极度推荐,1,82.8,80.9,62.4,95.0,91.0,94.1,83.0,0.0,61.4,77.1,002342,巨力索具,58.0,2.19,48.6,57.28,多头,-7.34,-10.1,当前仍站在20日线之上，20日线相对60日线高约14.0%，但短线均线结构还不算特别强。近20日上涨约-7.3%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.68，前期有明显缩量，而当前量比约1.61，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.0%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-06,2,极度推荐,2,78.2,77.2,65.8,58.0,100.0,83.1,83.0,0.0,69.4,82.9,601956,东贝集团,62.4,1.51,52.2,50.29,多头,-1.03,-16.72,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-1.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.56，前期有明显缩量，而当前量比约1.79，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-08-08,1,极度推荐,1,76.1,74.9,60.7,57.0,93.0,85.7,90.0,0.0,71.1,81.1,000965,天保基建,54.1,0.72,45.9,49.94,多头,-8.28,-13.02,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-8.3%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.32，前期有明显缩量，而当前量比约1.11，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
